Country_ISO,Slope,Intercept,R2,P_value,class
ARG,8.028371753606518e-05,0.0027391703340693928,0.8139996331008525,2.4605493987471502e-05,bvmeat
AUS,1.0598945598575791e-05,0.0007184478116453009,0.26038453225454145,0.0900687605317358,bvmeat
AUT,0.0002524147025597113,0.019298408075604,0.9215406169831322,5.4489946686661734e-08,bvmeat
BEL,0.0009073793225772517,0.05224910903665309,0.4754911947688713,0.0398634715473324,bvmeat
BGD,0.0005935557605937703,0.015774655513932104,0.16632773808370208,0.059549698314120665,bvmeat
BGR,-8.448770345641457e-05,0.00479005557759014,0.22852496472092812,0.04479414666109698,bvmeat
BLR,0.0008919681830096005,-0.0031063067952334083,1.0,0.0,bvmeat
BRA,3.816921773835332e-05,0.005422468997464582,0.5539146903110205,0.005503337933862853,bvmeat
BRN,-0.0008520680381594683,0.05776380991451239,0.04364732428117524,0.350782394876522,bvmeat
BTN,1.611919426757165e-05,0.0002727885237196341,0.8489262556248397,1.1749042578566337e-09,bvmeat
CAN,1.3381823605211997e-05,0.005153778953774638,0.03638179527126738,0.8092598750360392,bvmeat
CHE,,,,,bvmeat
CHL,4.8178189027303005e-05,0.0018663674128417032,0.9835285516230461,0.008269919976687357,bvmeat
CHN,4.137495059417464e-05,0.0018839580102613894,0.8975479909639446,2.357474606353584e-11,bvmeat
CMR,,,,,bvmeat
COL,-1.6675717005268203e-05,0.0027801950024501825,0.4772403671630218,0.018585041350071774,bvmeat
CRI,0.0004117818581126999,0.0064047603152106005,0.7471955733668962,0.33539105624662297,bvmeat
CYP,-0.041002378104605774,1.5309738223138174,1.0,0.0,bvmeat
CZE,,,,,bvmeat
DEU,-0.0001687300880435337,0.029981582642614236,0.7276129597958,0.00020996260743355488,bvmeat
DJI,,,,,bvmeat
DMA,0.0038754703093498285,0.02662789609358283,0.8253014724218468,0.27451624017267195,bvmeat
DNK,0.0004136755198390552,0.03102492537494536,0.59151841630497,0.009310311457183747,bvmeat
DOM,0.00019795537239839997,0.0058547561624434,1.0,0.0,bvmeat
ECU,,,,,bvmeat
EGY,,,,,bvmeat
ESP,0.00017281330737116608,0.006070210637521679,0.9082432933392482,2.0137542302322132e-05,bvmeat
EST,-0.00026078922802836994,0.011655180054474478,0.708623584055928,0.1582021715067638,bvmeat
FRA,4.000571626822715e-05,0.016925177720727064,0.05606460935136346,0.5101196625850314,bvmeat
GRC,2.5547560967915272e-05,0.004768127358651316,0.1190239715608336,0.16088133150533662,bvmeat
GTM,,,,,bvmeat
HRV,1.9822076940243352e-05,0.009845629722016976,0.010527725604004187,0.8267282894211344,bvmeat
HUN,4.144773322681918e-05,0.00950718092440573,0.22110050211615728,0.1702489552248672,bvmeat
IDN,9.048629155262974e-05,0.004111915805476129,0.677322037065584,2.566323688340223e-06,bvmeat
IND,0.002128755832213924,0.014012266795729943,0.8099003444331025,1.1941785294903806e-08,bvmeat
IRL,0.0006529537634893217,0.009702327342363565,0.9268017192567642,8.090790009418745e-06,bvmeat
IRN,1.7912162529856067e-05,0.002115058582244334,0.04847211729836428,0.3248539722903199,bvmeat
IRQ,7.69888003569887e-06,0.0019849241285931295,0.03565867431541858,0.3999981753342279,bvmeat
ISR,,,,,bvmeat
ITA,-0.0004714852458039477,0.02679042961800172,0.49965981451997715,0.0004927409484329785,bvmeat
KEN,-6.154703522684618e-05,0.0032826602041108564,0.11948517284467708,0.6543337261972509,bvmeat
KHM,-8.818939837931263e-05,0.005790117613589759,0.5541986649172972,7.093208561196935e-05,bvmeat
LAO,0.00023861563241602888,0.004304563846957415,0.9954675392029104,6.460048985768817e-25,bvmeat
LKA,7.563792207403733e-06,0.00924330125586566,0.010823026528612082,0.6449908730906092,bvmeat
LTU,0.00022459056018337152,0.005101536293113841,0.819018027935263,0.00031735912300217986,bvmeat
LUX,0.0011224076452244257,0.006942838370510195,0.9584253116103871,0.021008012489179165,bvmeat
LVA,0.00011739295530179949,0.003040134994696709,1.0,0.0,bvmeat
MDA,-0.00030753043572147505,0.011093885492594425,1.0,0.0,bvmeat
MMR,0.001990516176717681,0.06539769843044005,0.06875321077110616,0.23846071575021285,bvmeat
MYS,0.0003862016959788639,0.007018589117013912,0.6071126019567966,1.9276472168248154e-05,bvmeat
NIC,0.00018419090484255717,0.002269380083082257,0.9526026620704282,0.1397169390068601,bvmeat
NLD,0.0014530929428392373,0.05800730633172757,0.8868494509010867,5.2407563847394245e-08,bvmeat
NPL,0.0003504717176032471,0.009615088121933346,0.9904077953924602,1.1670378755829204e-21,bvmeat
NZL,0.00030174782343777673,0.010456884513588881,0.9480786427698961,2.068017789779647e-08,bvmeat
PAK,0.002414665116117895,0.03803847996534389,0.9937629331244929,1.5741185282498676e-23,bvmeat
PAN,0.00018362747459199004,0.004142374703832719,1.0,0.0,bvmeat
PHL,-0.00016118425417355122,0.020300996486819822,0.1301040206772737,0.09912023295411923,bvmeat
POL,0.0007679630216980242,0.015860157128835168,0.9569268085911518,7.3721360797142054e-09,bvmeat
PRT,,,,,bvmeat
PRY,5.4136109446336696e-05,0.002122079469835589,0.593467624510646,0.02529749459032729,bvmeat
ROU,,,,,bvmeat
SDN,1.3977167211649995e-05,0.0005368561695259501,0.9664785006749024,0.11721915707635469,bvmeat
SVK,,,,,bvmeat
SVN,,,,,bvmeat
SYC,,,,,bvmeat
SYR,2.4866059928666233e-06,0.0026375114479924005,0.0023153516489685384,0.8316059394558433,bvmeat
THA,-0.00018054490049598546,0.007036678036462497,0.0559320757330921,0.2893011101141411,bvmeat
TLS,1.8815579830802992e-05,0.0011787686036864005,0.39849215510408487,0.0016294927078511965,bvmeat
TTO,0.0004352954772624502,0.004941231114382447,0.3610551712490193,0.3991213340040942,bvmeat
TUR,0.0005087917267005893,0.004151347514438527,0.917439168700371,2.6958155905981533e-12,bvmeat
TWN,,,,,bvmeat
UGA,,,,,bvmeat
UKR,-0.000329586432742885,0.013272654567379279,0.9203107755233995,3.0461074867807765e-06,bvmeat
URY,0.0001140008853063247,0.003228784167871089,0.9839355402213343,0.0008683486854816582,bvmeat
USA,4.05273682365173e-05,0.0047586189128080245,0.4072485503397479,0.03461171269527701,bvmeat
VEN,-3.484169473040007e-05,0.003181148471440051,0.24963420322958327,0.5003659306756763,bvmeat
VNM,0.0021996059116466088,0.008057339274975043,0.9734957773787069,3.051029047983208e-17,bvmeat
ZAF,-4.500514069317853e-06,0.0015756925327825642,0.0679413982176133,0.5723747983634758,bvmeat
ZMB,-1.7127574770451442e-05,0.0013609114518854145,0.2776821760068551,0.47304442691356324,bvmeat
ALB,-0.003745002874357845,0.4897583298543056,0.23895216122514082,0.028732361416274232,bvmilk
BGD,0.021198420021206078,0.5633805540690056,0.16632773808370194,0.05954969831412084,bvmilk
BGR,-0.002828661570069892,0.1698300803336377,0.32052241677080096,0.006020759488498443,bvmilk
BRN,-0.03043100136283816,2.0629932112325875,0.04364732428117527,0.3507823948765217,bvmilk
CHN,0.0014776768069347977,0.0672842146521943,0.8975479909639413,2.3574746063543034e-11,bvmilk
DEU,,,,,bvmilk
EGY,,,,,bvmilk
GRC,0.0004939410581148789,0.17286780671156413,0.041942201295266275,0.4003154283397915,bvmilk
IDN,0.0032316532697368324,0.14685413590986293,0.6773220370655886,2.5663236883398485e-06,bvmilk
IND,0.0760269940076401,0.5004380998475004,0.8099003444331028,1.1941785294903689e-08,bvmilk
IRN,0.0006397200903520319,0.07553780650872773,0.04847211729836863,0.32485397229029767,bvmilk
IRQ,0.0002749600012748718,0.07089014744975683,0.03565867431539756,0.3999981753343694,bvmilk
ITA,-0.013902235544964855,0.9376843870559809,0.4462144320209799,0.0006802980775639565,bvmilk
LKA,0.00027013543597868405,0.3301179019952041,0.010823026528610079,0.64499087309064,bvmilk
MMR,0.07108986345420296,2.3356320868014318,0.06875321077110619,0.2384607157502128,bvmilk
MNG,0.0007415325719065996,-0.003422223851840687,0.8209419305374446,4.912464899472605e-05,bvmilk
MYS,0.013792917713530842,0.25066389703621283,0.6071126019567983,1.9276472168247267e-05,bvmilk
NLD,-0.022729529191064655,3.5483571349287804,0.4711639936017744,0.3135861353368695,bvmilk
NPL,0.01251684705725874,0.34339600435476497,0.9904077953924599,1.167037875583188e-21,bvmilk
PAK,0.08623803986135357,1.3585171416194242,0.9937629331244936,1.574118528248192e-23,bvmilk
ROU,0.004774485042859653,0.07035860627314697,0.4459427677213162,0.33221053638042775,bvmilk
SYR,8.880735688804126e-05,0.0941968374283023,0.0023153516489657884,0.8316059394559419,bvmilk
TUR,0.018171133096449632,0.14826241122994846,0.9174391687003708,2.695815590598229e-12,bvmilk
VNM,0.07855735398737887,0.28776211696339593,0.9734957773787066,3.051029047983447e-17,bvmilk
AFG,-1.5038078304198197e-06,0.000875040367201158,0.02899016549896237,0.4487178032117583,bvmeat
AGO,3.2048592608398074e-06,0.00024647698055815017,0.6753611084479967,2.730084677830877e-06,bvmeat
ALB,-0.00012284452014385859,0.013829148644105739,0.35575067277489586,0.0033905676540219062,bvmeat
ARE,0.0004831418984076795,0.009755642190355686,0.7832398291363731,4.5032917560469995e-08,bvmeat
ARG,6.86264566993986e-05,0.0028776237199798467,0.7282583479052707,4.4597983687285354e-07,bvmeat
ARM,0.0001701146846030572,0.004629611951376509,0.7980354215671898,2.202253414371648e-08,bvmeat
ATG,-0.0008982925967742399,0.020038578780206803,0.7774639957665495,5.8771679141054906e-08,bvmeat
AUS,1.4022502158097177e-05,0.0006571310502987023,0.5797615499301538,3.854445515722432e-05,bvmeat
AUT,0.0002852567060699735,0.018613734206307537,0.8889498902937214,5.300473340939241e-11,bvmeat
AZE,0.00029798033868940914,0.004409333751716014,0.9842293572942784,1.6889959653529506e-19,bvmeat
BDI,0.00010321568328705519,0.001598303662654661,0.6191327862683641,1.4008346074960571e-05,bvmeat
BEL,0.00016661847334454568,0.06321875770015875,0.06686506478805997,0.2452521065700738,bvmeat
BEN,0.00011490738958246627,0.0038257400098756582,0.7029442882676259,1.1038497010096745e-06,bvmeat
BFA,3.477185500883654e-05,0.0018550814750641484,0.3141475683579747,0.006663044703421065,bvmeat
BGD,0.0005935557605937703,0.015774655513932104,0.16632773808370208,0.059549698314120665,bvmeat
BGR,-7.920252396195852e-05,0.004755242249341814,0.3205224167708073,0.0060207594884978425,bvmeat
BHR,0.017455370522868434,0.09764247514624502,0.8990051163617642,2.0413551518906782e-11,bvmeat
BHS,1.4707319961450318e-05,0.003220812257667194,0.25831145949991335,0.015730713088496124,bvmeat
BIH,-2.91907636524424e-05,0.003926097030424378,0.08000955033681874,0.20212308014655506,bvmeat
BLR,0.00033733869529383007,0.00740842569195494,0.8212528007344518,6.4113286005717456e-09,bvmeat
BLZ,-1.92036053423257e-05,0.003424609232804802,0.020854921202533756,0.5213991580943617,bvmeat
BOL,2.042616035738407e-05,0.0005283524437449489,0.8717184677355445,2.2625044665213367e-10,bvmeat
BRA,9.031348152032764e-05,0.0046316202548900825,0.767276878589596,9.24924632781042e-08,bvmeat
BRB,-0.0005207669583451294,0.020359303748306565,0.16261858694959022,0.06274799071759213,bvmeat
BRN,-0.0008520680381594683,0.05776380991451239,0.04364732428117524,0.350782394876522,bvmeat
BTN,1.611919426757165e-05,0.0002727885237196341,0.8489262556248397,1.1749042578566337e-09,bvmeat
BWA,7.053831180210955e-06,0.00012194405369440314,0.9436941477309297,5.793588524863022e-14,bvmeat
CAF,7.047668809911658e-05,0.002347032512383944,0.9536555475843724,8.22859741402821e-15,bvmeat
CAN,2.479639715581971e-05,0.005421448888775571,0.04671595446518054,0.33399973863737425,bvmeat
CHE,6.540199726372705e-05,0.020108646045202395,0.49386215199388345,0.0002651237481134854,bvmeat
CHL,4.95381940465406e-05,0.0019193932668161513,0.7586605281699118,1.3371243864348998e-07,bvmeat
CHN,4.137495059417464e-05,0.0018839580102613894,0.8975479909639446,2.357474606353584e-11,bvmeat
CIV,2.6204670319288543e-06,0.000188191563457047,0.6628175312122907,4.0214965430781034e-06,bvmeat
CMR,7.43538550491812e-05,0.0040867920918812575,0.3463564050708167,0.003961257933632449,bvmeat
