country_iso,country_name,scenario,pasture_area_Mha_2025,pasture_area_Mha_2075,ratio
AGO,Angola,no_gap_closure_milk_pasture_area_m2,1.72309879563523,10.619792807947594,6.163194376810267
ALB,Albania,no_gap_closure_milk_pasture_area_m2,0.23214730060034194,0.15697801403215036,0.6762000403459317
ARE,United Arab Emirates,no_gap_closure_milk_pasture_area_m2,0.014138566603782397,0.023022385523607882,1.6283394327575509
ARG,Argentina,no_gap_closure_milk_pasture_area_m2,6.756534463346195,6.226795530068976,0.9215960584303949
ARM,Armenia,no_gap_closure_milk_pasture_area_m2,0.23133937748598163,0.18742315407725527,0.8101653774382291
ATG,Antigua and Barbuda,no_gap_closure_milk_pasture_area_m2,0.0021788921819481453,0.001902056883807992,0.8729467660521709
AUS,Australia,no_gap_closure_milk_pasture_area_m2,30.434901293125954,42.19057476194227,1.3862563362895304
AUT,Austria,no_gap_closure_milk_pasture_area_m2,0.41725103731398544,0.3878360569579815,0.9295029185658588
AZE,Azerbaijan,no_gap_closure_milk_pasture_area_m2,0.5531557616599276,0.6803385954846889,1.229922279835081
BEL,Belgium,no_gap_closure_milk_pasture_area_m2,0.1832090888657974,0.1871208446447944,1.0213513194307866
BFA,Burkina Faso,no_gap_closure_milk_pasture_area_m2,0.33163343386971844,1.348891540455402,4.067417222430328
BGD,Bangladesh,no_gap_closure_milk_pasture_area_m2,1.0115040670716446,4.192668293406933,4.144984118101393
BGR,Bulgaria,no_gap_closure_milk_pasture_area_m2,0.7130363272356812,0.5332164825350643,0.7478111032606888
BHR,Bahrain,no_gap_closure_milk_pasture_area_m2,6.558890541657849e-05,0.00010018481900646676,1.527465939096823
BHS,Bahamas,no_gap_closure_milk_pasture_area_m2,0.0004985445354467572,0.0004504379385453854,0.9035059187675933
BIH,Bosnia and Herzegovina,no_gap_closure_milk_pasture_area_m2,0.5587221209735909,0.3424275152818701,0.6128762446082847
BLR,Belarus,no_gap_closure_milk_pasture_area_m2,1.2193715063370052,0.7047346066793337,0.5779490524560132
BLZ,Belize,no_gap_closure_milk_pasture_area_m2,0.0038944009551608472,0.005261683247053907,1.3510892452101375
BOL,Bolivia (Plurinational State of),no_gap_closure_milk_pasture_area_m2,1.5381726316988071,2.4159737951495663,1.570677923505431
BRA,Brazil,no_gap_closure_milk_pasture_area_m2,14.711753549057041,13.429738633861453,0.9128577765444038
BRB,Barbados,no_gap_closure_milk_pasture_area_m2,0.0010340217371156276,0.0008682319229615175,0.8396650590570989
BTN,Bhutan,no_gap_closure_milk_pasture_area_m2,0.3966485226409605,0.6755060734182998,1.7030343865159343
BWA,Botswana,no_gap_closure_milk_pasture_area_m2,0.2507192787112381,0.766927081561294,3.0589074980731334
CAN,Canada,no_gap_closure_milk_pasture_area_m2,3.6505396583370002,4.58236432236979,1.2552566883925542
CHE,Switzerland,no_gap_closure_milk_pasture_area_m2,0.48412476648964176,0.4942432320499958,1.0209005327980274
CHL,Chile,no_gap_closure_milk_pasture_area_m2,1.8259992479908334,1.7376807400496468,0.9516327796748195
CHN,China,no_gap_closure_milk_pasture_area_m2,0.0,0.0,
CIV,Côte d’Ivoire,no_gap_closure_milk_pasture_area_m2,0.0,0.0,
CMR,Cameroon,no_gap_closure_milk_pasture_area_m2,0.10794039936245649,0.8704821412583739,8.064470266923456
COD,Democratic Republic of the Congo,no_gap_closure_milk_pasture_area_m2,0.1918452694310165,4.657373912521642,24.27672012103658
COG,Congo,no_gap_closure_milk_pasture_area_m2,0.1736194163266521,0.5332896089794416,3.071601208335458
COL,Colombia,no_gap_closure_milk_pasture_area_m2,6.82390274481121,7.593126788637797,1.112724942396269
COM,Comoros,no_gap_closure_milk_pasture_area_m2,0.00318333953136229,0.013056246703828846,4.101430769542044
CPV,Cabo Verde,no_gap_closure_milk_pasture_area_m2,0.0022250134907902683,0.002675096422528149,1.2022832372032146
CRI,Costa Rica,no_gap_closure_milk_pasture_area_m2,0.29056017430953,0.31267956140977426,1.0761266995823067
CYP,Cyprus,no_gap_closure_milk_pasture_area_m2,0.001326770371449242,0.0015056131882532147,1.134795606423304
CZE,Czechia,no_gap_closure_milk_pasture_area_m2,0.5219709544793897,0.4601014089349561,0.8814693710186579
DEU,Germany,no_gap_closure_milk_pasture_area_m2,3.298773305234976,3.05633272884887,0.9265058390034362
DJI,Djibouti,no_gap_closure_milk_pasture_area_m2,0.05264678742558871,0.22067964849147265,4.19170208255124
DNK,Denmark,no_gap_closure_milk_pasture_area_m2,0.3941559520920854,0.41221420562156247,1.0458149964084726
DOM,Dominican Republic,no_gap_closure_milk_pasture_area_m2,0.30298700791971944,0.3512124014283246,1.159166539317036
DZA,Algeria,no_gap_closure_milk_pasture_area_m2,5.870730986687945,10.40055234168288,1.7715940936940286
ECU,Ecuador,no_gap_closure_milk_pasture_area_m2,0.5203733236266199,0.6877076893923317,1.32156599535025
EGY,Egypt,no_gap_closure_milk_pasture_area_m2,0.10333335805098037,0.2998475358586361,2.901749652911733
ESP,Spain,no_gap_closure_milk_pasture_area_m2,2.185981454872526,1.7827403107110116,0.8155331358083141
EST,Estonia,no_gap_closure_milk_pasture_area_m2,0.3032737563632675,0.23929309906953408,0.7890333207166925
FIN,Finland,no_gap_closure_milk_pasture_area_m2,0.33419645911185153,0.30822871375430566,0.9222979638187765
FJI,Fiji,no_gap_closure_milk_pasture_area_m2,0.010330512959502108,0.011681110723651023,1.1307386931746328
FRA,France,no_gap_closure_milk_pasture_area_m2,3.860948403007412,4.069397939383206,1.0539892054018196
FSM,Micronesia (Federated States of),no_gap_closure_milk_pasture_area_m2,0.0,0.0,
GAB,Gabon,no_gap_closure_milk_pasture_area_m2,0.22797677407843506,0.4813153725134428,2.1112474042985054
GBR,United Kingdom of Great Britain and Northern Ireland,no_gap_closure_milk_pasture_area_m2,3.3407825419975388,3.790723933936549,1.1346814365444986
GEO,Georgia,no_gap_closure_milk_pasture_area_m2,0.7690733855457282,0.8420303761852626,1.094863496788105
GHA,Ghana,no_gap_closure_milk_pasture_area_m2,0.11081623251920197,0.5152796348326557,4.649857003064684
GIN,Guinea,no_gap_closure_milk_pasture_area_m2,0.8643824678665176,5.136116033633547,5.941948413542664
GMB,Gambia,no_gap_closure_milk_pasture_area_m2,0.06554741583589899,0.23186952027700897,3.5374319081854444
GNB,Guinea-Bissau,no_gap_closure_milk_pasture_area_m2,0.016381727360699774,0.08263005058784054,5.044037711558572
