country_iso,country_name,scenario,pasture_area_Mha_2025,pasture_area_Mha_2075,ratio
AGO,Angola,no_gap_closure_mutton_pasture_area_m2,3.2918874676521144,15.0495172578259,4.571698578918837
ALB,Albania,no_gap_closure_mutton_pasture_area_m2,0.11643932251502805,0.07712828419509478,0.6623903551580725
ARE,United Arab Emirates,no_gap_closure_mutton_pasture_area_m2,0.18699145779493337,0.21585308393877053,1.1543472973802293
ARG,Argentina,no_gap_closure_mutton_pasture_area_m2,0.8955872366424343,0.8085135676125393,0.9027747767416437
ARM,Armenia,no_gap_closure_mutton_pasture_area_m2,0.07870858840708726,0.06246469317943175,0.7936197871617167
ATG,Antigua and Barbuda,no_gap_closure_mutton_pasture_area_m2,0.0,0.0,
AUS,Australia,no_gap_closure_mutton_pasture_area_m2,48.26287816153349,47.42947442100654,0.9827319925318669
AUT,Austria,no_gap_closure_mutton_pasture_area_m2,0.016188788639540007,0.010667352858961443,0.6589345933461115
AZE,Azerbaijan,no_gap_closure_mutton_pasture_area_m2,0.45929216710943177,0.5533571367883687,1.2048042105114432
BEL,Belgium,no_gap_closure_mutton_pasture_area_m2,0.002595023822268911,0.0018789189807530068,0.7240469103324874
BFA,Burkina Faso,no_gap_closure_mutton_pasture_area_m2,1.1541317930826185,3.920632824179603,3.397040829893285
BGD,Bangladesh,no_gap_closure_mutton_pasture_area_m2,0.383808099766044,1.1800726104219281,3.074642278631585
BGR,Bulgaria,no_gap_closure_mutton_pasture_area_m2,0.1644325783382357,0.08717085910909138,0.5301313157650671
BHR,Bahrain,no_gap_closure_mutton_pasture_area_m2,0.0034204122883267473,0.0037037489648551673,1.0828369952638157
BHS,Bahamas,no_gap_closure_mutton_pasture_area_m2,0.001478197858062439,0.0009467931800076795,0.640505041218702
BIH,Bosnia and Herzegovina,no_gap_closure_mutton_pasture_area_m2,0.028798030275217355,0.017289179370708122,0.600359788689667
BLR,Belarus,no_gap_closure_mutton_pasture_area_m2,0.004920874981661255,0.002785933178527336,0.5661458965955731
BLZ,Belize,no_gap_closure_mutton_pasture_area_m2,0.0,0.0,
BOL,Bolivia (Plurinational State of),no_gap_closure_mutton_pasture_area_m2,1.7597229739466087,2.050232754337928,1.165088360322864
BRA,Brazil,no_gap_closure_mutton_pasture_area_m2,1.3750851391700134,1.2296216921127672,0.8942149522864843
BRB,Barbados,no_gap_closure_mutton_pasture_area_m2,0.0004528626364489266,0.0002695653842079177,0.5952475707019804
BTN,Bhutan,no_gap_closure_mutton_pasture_area_m2,0.0,0.0,
BWA,Botswana,no_gap_closure_mutton_pasture_area_m2,1.1733533636185172,3.5158794393285815,2.9964370055461576
CAN,Canada,no_gap_closure_mutton_pasture_area_m2,0.2794897445834115,0.2487081237874818,0.8898649363975386
CHE,Switzerland,no_gap_closure_mutton_pasture_area_m2,0.015219409925009406,0.01101470310479011,0.7237273428511916
CHL,Chile,no_gap_closure_mutton_pasture_area_m2,0.38047972593455054,0.25668025595650806,0.6746226893589115
CHN,China,no_gap_closure_mutton_pasture_area_m2,0.0,0.0,
CIV,Côte d’Ivoire,no_gap_closure_mutton_pasture_area_m2,0.0,0.0,
CMR,Cameroon,no_gap_closure_mutton_pasture_area_m2,0.414052861937415,2.476870837285837,5.982015981476833
COD,Democratic Republic of the Congo,no_gap_closure_mutton_pasture_area_m2,9.527969195393743,193.1845539335192,20.275522513959583
COG,Congo,no_gap_closure_mutton_pasture_area_m2,1.0374439820303203,2.3637481909128524,2.278434529339021
COL,Colombia,no_gap_closure_mutton_pasture_area_m2,0.13396690913546538,0.14602397569452816,1.0900003339397109
COM,Comoros,no_gap_closure_mutton_pasture_area_m2,0.002069252287386941,0.006295359751020861,3.0423355283423
CPV,Cabo Verde,no_gap_closure_mutton_pasture_area_m2,0.0071050858999052065,0.008367870158267577,1.1777296258134218
CRI,Costa Rica,no_gap_closure_mutton_pasture_area_m2,0.0,0.0,
