Country_ISO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AFG,0.001504293078,0.0012430458744444445,0.0014987554242222223,0.0014196155735555556,0.0015256358995555555,0.0014816626564444445,0.0012865292853333334,0.00135164437,0.0014139911064444445,0.0014585333255555553,0.0015008222082222222,0.0015528888748888889,0.0015569088717777779,0.0015118266573333333,0.00154168455,0.0014560775193333336,0.0014231666671111112,0.0014772038564444445,0.001370172147111111,0.0013352497833333333,0.001323957004604234,0.0012721827156169452
AGO,0.000426864740378643,0.0004295606109357937,0.0004404281365806176,0.0004441825069405366,0.0003530449951049648,0.00041035133888433155,0.00041331912015768837,0.00044207307559108967,0.0004642316245723445,0.0004663260950406922,0.000475346134237597,0.0004820224137193561,0.000490313952147582,0.0005063646876546496,0.0005011331400151,0.0004973037333292875,0.0005071677146396169,0.0005198842725065166,0.0005015119691857525,0.00049116026818289,0.0005067698333314227,0.0005019997394208744
ALB,0.02702478952808988,0.020000262814147966,0.020660271850798165,0.0218111355761116,0.02230605567049297,0.022293413072861087,0.024622317501953647,0.024853953232757464,0.019477921130776794,0.018782603761992533,0.01942651841274329,0.01976984895157499,0.01988712051712872,0.020330562622115245,0.020346656673846258,0.02057475664478483,0.02069006434672879,0.020563869607268,0.021070909418565476,0.019409051043308027,0.017827423063063067,0.018044137920718024
ARE,0.021625060644444447,0.01805029557777778,0.01728928002222222,0.021876990155555557,0.022041059711111116,0.013030542688888888,0.0176854832,0.01656349686666667,0.02361551828888889,0.025556973488888895,0.024073658888888887,0.024497226377777775,0.02518743937777778,0.024696386844444446,0.026278273333333334,0.028978361111111108,0.030526249844444447,0.03158398762222222,0.03211942175555556,0.03227683015555556,0.03279103302222223,0.03337294222222222
ARG,0.005122945507760088,0.0045242613814174696,0.0045067983030349715,0.004813836098343441,0.005528025015237329,0.005816427147597506,0.005777159597723629,0.0061691740485613706,0.006123376143781528,0.006671506045666811,0.005464678746318703,0.00535490249482804,0.005627475752808843,0.006143721648851619,0.005976070689079258,0.006254245298963685,0.0060980454588827225,0.006628995633140494,0.007266485757942834,0.007407435363808312,0.00751796698178727,0.007140522446328766
ARM,0.009655473181636726,0.009274677796407187,0.008668545614814817,0.008419365515789473,0.008871311813333333,0.008403128145454544,0.008239939709913506,0.008759091651950553,0.009659758577092038,0.00965344148779377,0.009427555167559958,0.00975698823365398,0.009892448425163425,0.010944800991136408,0.011897964197635854,0.012762661207778917,0.0135474437109064,0.01401196587599545,0.013463159980669735,0.013242875875995447,0.013226500449374286,0.013467494179261661
ATG,0.030030828333333332,0.027611457397957315,0.027513434077967587,0.028637185620857653,0.028885001760873392,0.029033038725176874,0.029355199480642115,0.029016277765478566,0.03350066883947112,0.029476402280974603,0.00907187743906518,0.009910029379744379,0.009331537180951527,0.0097550361838905,0.009343835616438357,0.008984290912357935,0.009362689755987856,0.009423413162870263,0.005658778052991068,0.004893565908920399,0.005280749036663136,0.0048299419368892284
AUS,0.0010503526407227243,0.0010915312814292562,0.0011089528756640028,0.0010689931243212918,0.0012449355472228096,0.001197683407251335,0.0012452134256907966,0.001277936675030559,0.001288357819358351,0.0012993273374520436,0.0013073405871127802,0.001250082431525946,0.0013079954291062466,0.0014999434018101072,0.0016255289715184325,0.0017878479880568238,0.0016290950994798604,0.0013497604737994833,0.0015474532021933988,0.0015832377269871143,0.0014375778905655846,0.001294321172189428
AUT,0.033948200861560786,0.03275067537558244,0.03239348338048238,0.03186749168882141,0.031500066434584466,0.03135110866548193,0.03290517918632828,0.03336438073481328,0.034707000844929344,0.035203141575199916,0.0354510798785719,0.03561108342136347,0.036548691307685365,0.037812957898103725,0.03739276515919784,0.03802352973890566,0.03961806650379446,0.04005793684235535,0.041075092827603854,0.040331053910402426,0.040388593532788127,0.040025839632994886
AZE,,,,,,,,,,,,,,,,,,,0.016635891255254266,0.01713699026161591,,
