Country_ISO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AFG,0.0009025758468000001,0.0007458275246666666,0.0008992532545333332,0.0008517693441333332,0.0009153815397333336,0.0008889975938666663,0.0007719175712,0.0008109866220000001,0.0008483946638666666,0.0008751199953333334,0.0009004933249333333,0.0009317333249333332,0.0009341453230666667,0.0009070959944000001,0.00092501073,0.0008736465115999999,0.0008539000002666666,0.0008863223138666666,0.0008221032882666666,0.00080114987,0.0007943742027625404,0.0007633096293701672
AGO,0.00025611884422718583,0.00025773636656147627,0.00026425688194837055,0.00026650950416432184,0.0002118269970629789,0.0002462108033305989,0.00024799147209461305,0.0002652438453546539,0.0002785389747434067,0.00027979565702441534,0.0002852076805425582,0.00028921344823161363,0.00029418837128854914,0.0003038188125927899,0.00030067988400905995,0.0002983822399975724,0.00030430062878377014,0.00031193056350390996,0.0003009071815114515,0.000294696160909734,0.00030406189999885366,0.0003011998436525246
ALB,0.016214873716853928,0.012000157688488779,0.0123961631104789,0.01308668134566696,0.013383633402295784,0.013376047843716656,0.014773390501172188,0.014912371939654482,0.011686752678466077,0.011269562257195519,0.011655911047645977,0.011861909370944994,0.011932272310277233,0.012198337573269147,0.012207994004307754,0.012344853986870897,0.012414038608037276,0.0123383217643608,0.012642545651139283,0.011645430625984814,0.010696453837837839,0.010826482752430816
ARE,0.012975036386666668,0.01083017734666667,0.010373568013333334,0.013126194093333333,0.013224635826666671,0.007818325613333333,0.010611289920000001,0.00993809812,0.014169310973333333,0.015334184093333335,0.014444195333333331,0.014698335826666666,0.015112463626666668,0.014817832106666668,0.015766964,0.017387016666666668,0.018315749906666665,0.018950392573333336,0.019271653053333337,0.019366098093333332,0.019674619813333332,0.020023765333333332
ARG,0.003073767304656053,0.0027145568288504817,0.0027040789818209825,0.0028883016590060652,0.003316815009142398,0.003489856288558504,0.0034662957586341784,0.003701504429136822,0.0036740256862689176,0.004002903627400086,0.003278807247791222,0.003212941496896824,0.003376485451685306,0.0036862329893109728,0.0035856424134475553,0.0037525471793782104,0.0036588272753296327,0.0039773973798842965,0.0043598914547657,0.004444461218284987,0.004510780189072363,0.00428431346779726
ARM,0.005793283908982036,0.005564806677844311,0.005201127368888889,0.005051619309473684,0.005322787088,0.005041876887272726,0.0049439638259481025,0.005255454991170332,0.005795855146255223,0.005792064892676259,0.0056565331005359746,0.005854192940192387,0.005935469055098055,0.006566880594681845,0.007138778518581512,0.007657596724667348,0.00812846622654384,0.008407179525597268,0.008077895988401843,0.00794572552559727,0.007935900269624574,0.008080496507556996
ATG,0.018018496999999998,0.016566874438774387,0.01650806044678055,0.017182311372514594,0.017331001056524034,0.017419823235106126,0.01761311968838527,0.01740976665928714,0.020100401303682677,0.01768584136858476,0.0054431264634391095,0.005946017627846629,0.005598922308570917,0.005853021710334299,0.0056063013698630145,0.005390574547414761,0.0056176138535927135,0.005654047897722158,0.0033952668317946398,0.0029361395453522394,0.003168449421997881,0.0028979651621335372
AUS,0.0006302115844336344,0.0006549187688575537,0.0006653717253984017,0.0006413958745927751,0.0007469613283336858,0.0007186100443508012,0.0007471280554144779,0.0007667620050183356,0.0007730146916150106,0.0007795964024712263,0.0007844043522676682,0.0007500494589155677,0.0007847972574637482,0.0008999660410860643,0.0009753173829110597,0.0010727087928340945,0.0009774570596879164,0.00080985628427969,0.0009284719213160395,0.0009499426361922686,0.000862546734339351,0.0007765927033136568
AUT,0.020368920516936468,0.019650405225349464,0.019436090028289433,0.01912049501329284,0.01890003986075068,0.01881066519928916,0.019743107511796965,0.020018628440887972,0.0208242005069576,0.021121884945119948,0.021270647927143137,0.021366650052818077,0.021929214784611215,0.02268777473886224,0.022435659095518704,0.022814117843343393,0.023770839902276672,0.024034762105413207,0.024645055696562307,0.02419863234624146,0.024233156119672875,0.024015503779796936
AZE,0.004785449887976101,0.004940262170039881,0.005242476936271768,0.005504099606735309,0.005679510388645315,0.005788706422658598,0.005966035608850608,0.006082034559713198,0.0062523945627575885,0.006866932493035161,0.007525305508228826,0.007708599637020861,0.007876648988866166,0.00816675925942927,0.008255460354830057,0.008710525960463953,0.009168712088432687,0.009722585795911665,0.009981534753152558,0.010282194156969546,0.010588409517127528,0.010744162117890385
