Country_ISO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AFG,0.032234851671428574,0.02663669730952381,0.032116187661904765,0.030420333719047617,0.03269219784761905,0.031749914066666676,0.027568484685714288,0.028963807928571426,0.030299809423809526,0.03125428554761905,0.032160475890476194,0.03327619017619047,0.03336233296666667,0.032396285514285715,0.03303609750000001,0.03120166112857143,0.030496428580952382,0.03165436835238095,0.02936083172380952,0.02861249535714286,0.028370507241519304,0.027261058191791684
AGO,0.009147101579542348,0.009204870234338438,0.00943774578387038,0.009518196577297213,0.007565249895106389,0.008793242976092821,0.008856838289093321,0.009472994476951923,0.009947820526550237,0.009992702036586263,0.010185988590805651,0.010329051722557629,0.010506727546019615,0.010850671878313924,0.010738567286037858,0.010656508571341873,0.010867879599420363,0.011140377267996786,0.010746685053980413,0.010524862889633358,0.010859353571387632,0.01075713727330445
ALB,0.5791026327447834,0.4285770603031707,0.44272011108853204,0.46738147663096297,0.4779869072248494,0.4777159944184521,0.5276210893275782,0.5325847121305171,0.41738402423093135,0.40248436632841145,0.41628253741592774,0.42363962039089265,0.4261525825099012,0.43565491333104106,0.4359997858681342,0.44088764238824646,0.443358521715617,0.4406543487271715,0.4515194875406887,0.4159082366423149,0.3820162084942085,0.38666009830110054
ARE,0.4633941566666666,0.3867920480952381,0.370484571904762,0.46879264619047617,0.4723084223809525,0.2792259147619048,0.3789746399999999,0.3549320757142857,0.5060468204761905,0.5476494319047619,0.5158641190476191,0.5249405652380952,0.539730843809524,0.5292082895238095,0.5631058571428572,0.6209648809523808,0.6541339252380952,0.6767997347619048,0.6882733233333332,0.6916463604761905,0.7026649933333333,0.7151344761904762
ARG,0.10977740373771618,0.0969484581732315,0.09657424935074939,0.10315363067878805,0.11845767889794276,0.12463772459137513,0.12379627709407778,0.13219658675488652,0.13121520308103277,0.1429608438357174,0.11710025884968647,0.11474791060345801,0.12058876613161806,0.1316511781896776,0.128058657623127,0.1340195421206504,0.13067240269034405,0.14204990642443918,0.15571040909877504,0.15873075779589238,0.1610992924668701,0.15301119527847357
ARM,0.20690299674935844,0.19874309563729686,0.18575454888888887,0.18041497533834588,0.19009953885714287,0.18006703168831165,0.17657013664100368,0.18769482111322616,0.20699482665197225,0.20685946045272358,0.2020190393048563,0.20907831929258527,0.21198103768207344,0.23453144981006596,0.2549563756636255,0.2734855973095482,0.29030236523370856,0.30025641162847394,0.28849628530006577,0.2837759116284739,0.28342500962944905,0.2885891609841784
ATG,0.6435177500000001,0.5916740870990853,0.5895735873850199,0.6136539775898068,0.618964323447287,0.6221365441109331,0.6290399888709025,0.6217773806888264,0.7178714751315242,0.6316371917351701,0.19439737369425394,0.21235777242309387,0.19996151102038992,0.20903648965479638,0.20022504892367907,0.1925205195505272,0.20062906619973978,0.20193028206150562,0.12125952970695146,0.10486212661972284,0.11315890792849577,0.10349875579048347
AUS,0.022507556586915518,0.023389956030626918,0.023763275907085775,0.02290699552117054,0.026677190297631635,0.02566464444110004,0.026683144836231354,0.02738435732208341,0.02760766755767895,0.027842728659686643,0.02801444115241672,0.026787480675555992,0.028028473480848144,0.0321416443245023,0.034832763675394986,0.03831102831550336,0.03490918070313987,0.02892343872427464,0.03315971147557283,0.03392652272115245,0.03080524051211967,0.027735453689773464
AUT,0.7274614470334455,0.7018001866196237,0.6941460724389084,0.6828748219033158,0.6750014235982386,0.6718094714031841,0.7051109825641773,0.714951015745999,0.7437214466770573,0.7543530337542839,0.7596659973979694,0.7630946447435026,0.7831862423075434,0.8102776692450799,0.8012735391256681,0.8147899229765497,0.8489585679384525,0.8583843609076145,0.8801805605915111,0.8642368695086232,0.8654698614168882,0.8576965635641761
AZE,0.17090892457057505,0.17643793464428154,0.18723131915256314,0.19657498595483247,0.20283965673733273,0.20673951509494992,0.21307270031609316,0.21721551998975708,0.22329980581277104,0.2452475890369701,0.26876091100817234,0.2753071298936021,0.281308892459506,0.29166997355104535,0.29483786981535925,0.3110902128737126,0.3274540031583103,0.34723520699684524,0.3564833840411628,0.3672212198917696,0.37815748275455446,0.3837200756389423
