Country_ISO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AFG,0.032234851671428574,0.026636697309523803,0.03211618766190475,0.030420333719047617,0.03269219784761905,0.03174991406666667,0.027568484685714288,0.028963807928571426,0.030299809423809523,0.03125428554761905,0.032160475890476194,0.033276190176190476,0.03336233296666666,0.032396285514285715,0.03303609750000001,0.03120166112857143,0.030496428580952382,0.03165436835238095,0.029360831723809527,0.028612495357142855,0.028370507241519304,0.027261058191791684
ALB,0.5791026327447834,0.4285770603031707,0.4427201110885322,0.46738147663096297,0.4779869072248494,0.4777159944184521,0.5276210893275781,0.5325847121305171,0.41738402423093135,0.40248436632841145,0.41628253741592774,0.42363962039089254,0.4261525825099012,0.4356549133310411,0.4359997858681341,0.44088764238824646,0.443358521715617,0.4406543487271715,0.4515194875406887,0.4159082366423149,0.38201620849420853,0.3866600983011006
ARE,0.4633941566666666,0.3867920480952381,0.3704845719047619,0.4687926461904763,0.4723084223809525,0.2792259147619047,0.3789746399999999,0.3549320757142857,0.5060468204761905,0.5476494319047619,0.515864119047619,0.5249405652380952,0.539730843809524,0.5292082895238095,0.5631058571428572,0.6209648809523808,0.6541339252380952,0.6767997347619048,0.6882733233333332,0.6916463604761905,0.7026649933333333,0.7151344761904763
ARG,,,0.09657424935074939,,0.11845767889794279,0.12463772459137513,0.12379627709407778,,,,,,,,,,,,,,,
ARM,0.20690299674935841,0.19874309563729686,0.18575454888888887,0.1804149753383459,0.19009953885714287,0.18006703168831167,0.1765701366410037,0.18769482111322616,0.20699482665197227,0.20685946045272358,0.2020190393048563,0.20907831929258527,0.21198103768207344,0.23453144981006596,0.2549563756636255,0.27348559730954813,0.29030236523370856,0.30025641162847394,0.2884962853000657,0.28377591162847393,0.2834250096294491,0.28858916098417847
AUS,,0.023389956030626918,,0.022906995521170537,,,,,,,,,,,,,,,,,,
AUT,0.7274614470334455,0.7018001866196237,0.6941460724389084,0.6828748219033158,0.6750014235982387,0.6718094714031841,0.7051109825641773,0.714951015745999,0.7437214466770573,0.7543530337542839,0.7596659973979694,0.7630946447435029,0.7831862423075435,0.81027766924508,0.8012735391256681,0.8147899229765498,0.8489585679384528,0.8583843609076147,0.8801805605915111,0.8642368695086234,0.8654698614168885,0.8576965635641765
AZE,0.17090892457057508,0.17643793464428154,0.18723131915256314,0.19657498595483247,0.20283965673733267,0.20673951509494992,0.21307270031609318,0.21721551998975708,0.22329980581277098,0.2452475890369701,0.26876091100817234,0.2753071298936022,0.28130889245950597,0.2916699735510454,0.2948378698153592,0.3110902128737126,0.3274540031583103,0.34723520699684524,0.3564833840411628,0.36722121989176953,0.37815748275455446,0.3837200756389423
BDI,0.07224570383912249,0.06479548644775003,0.06348490728992462,0.06689394824971609,0.05727360479300892,0.07831423207254291,0.09865496600484112,0.08979510785083884,0.08276215743070225,0.07720650702066255,0.07636286580605808,0.08666555752427224,0.10899203335994322,0.07359910953174768,0.09757612955238805,0.10938928623172361,0.11567781728958457,0.1528774251124292,0.14493874375368165,0.169217110397451,0.09458671682256449,0.12602999139452037
BEL,,,,,,,,,,2.1247904229258716,2.28783281865285,,,,,,,,,,,
