Item_Code,Country_ISO,fp_m2_kg,fp_kg_m2,fp_m2,fp_kg
867.0,ARM,123.75477163622134,0.008080496507556996,8588577438.910609,69399969.99999999
867.0,AFG,1310.0843504688053,0.0007633096293701673,107144567359.22899,81784480.0
867.0,ALB,92.36610105673286,0.010826482752430816,2929113796.7111125,31712000.0
867.0,DZA,718.1633584853951,0.0013924408537202425,105045725719.12439,146269960.0
867.0,AGO,3320.0548442303884,0.0003011998436525246,341440549081.5665,102841840.0
867.0,ATG,345.069710659938,0.0028979651621335377,19668973.507616464,57000.0
867.0,ARG,233.40962502310572,0.004284313467797259,695955098153.2192,2981689800.0000005
867.0,AUS,1287.6762757789027,0.0007765927033136569,2438526658722.8535,1893742010.0
867.0,AUT,41.6397677587447,0.024015503779796936,8900084793.549448,213740020.0
867.0,BHS,286.94970122503724,0.0034849313162928185,5409001.868091952,18850.0
867.0,BHR,2.3607924333146317,0.4235865829999999,1967791.3169407449,833530.0
867.0,BRB,81.510342442453,0.012268381778741866,13123165.133234931,161000.0
867.0,BGD,28.62810091310758,0.03493071381280981,5718549614.257997,199753020.0
867.0,BTN,1539.9068913727951,0.0006493899115605105,1564545401.63476,1016000.0
867.0,BOL,1020.3976085551506,0.0009800101368484851,289992000403.0919,284195100.00000006
867.0,BWA,3702.0133768215865,0.00027012328109375,242133627783.4563,65405930.0
867.0,BRA,163.95966351469968,0.006099061065164639,1598606709430.7422,9749999940.0
867.0,BLZ,321.489183781084,0.0031105245540109477,533672045.0765995,1660000.0
867.0,SLB,123.04794518624654,0.008126913444075725,94636174.64274222,769100.0
867.0,BRN,8.653753990917355,0.1155567862282151,30179620.89316464,3487460.0
867.0,BGR,296.883361021486,0.0033683261889763776,5682338623.450412,19139970.0
867.0,MMR,28.225086319264392,0.035429475349999996,3104758930.617357,109999980.0
867.0,BDI,283.3792601198141,0.00352883975904657,4657749039.996318,16436450.0
867.0,CMR,182.05333047186846,0.005492895941030442,21012173039.336365,115417680.00000001
867.0,CAN,141.6171530888246,0.007061291504516996,195924929471.47244,1383483040.0
867.0,CPV,242.80088940618532,0.004118601058034366,172391059.48728564,710010.0
867.0,CAF,269.6891900269721,0.0037079721285824927,27356297858.36005,101436390.0
867.0,LKA,103.8846002605383,0.009626065821999036,2025750743.9265,19500010.000000004
867.0,TCD,643.6664815772415,0.0015535996181587678,316738015540.4442,492084060.0
867.0,CHL,306.81044053969,0.0032593414951621793,64421463756.30155,209971550.00000003
867.0,CHN,357.4474608609748,0.0027976139418960343,2243908584379.399,6277589940.0
867.0,COL,395.3589462998329,0.002529347089167975,299973433163.57,758736929.9999999
867.0,COM,117.78339607309496,0.008490161035766127,144808796.3020666,1229450.0
867.0,COG,15381.334133791968,6.501386624213913e-05,84881277163.96562,5518460.0
867.0,COK,0.0,inf,0.0,6810.0
867.0,CRI,90.99706875430041,0.010989364972844152,8503684264.825561,93450089.99999999
867.0,CUB,277.20611102221625,0.00360742407991091,22620018659.412846,81600000.0
867.0,CYP,1.479517887582751,0.6758958498526899,8729066.765664976,5899940.0
867.0,AZE,93.07380036037189,0.010744162117890383,13499421212.054329,145039970.0
867.0,BEN,147.36818380432092,0.006785725210048219,5139017410.896927,34871960.0
867.0,DNK,25.717043137998942,0.03888471915818432,3166025952.230344,123110030.0
867.0,DMA,33.7250856342459,0.029651518482270572,18599047.47643027,551490.0
867.0,DOM,142.25959414468255,0.007029402874458985,8865185437.930416,62316960.0
