file,region,iso3,n,slope,intercept,r_squared,p_value,std_err,current_year,current_yield_kg_per_m2,class
pasture_fp_kg_m2_by_country_year_Buffalo_Meat,Australia and New Zealand,AUS,25,-7.461684220434126,74.15476282028251,0.7622267956754756,1.2471418637205099e-08,0.8689850339604336,2021,0.0007765927033136,bvmeat
pasture_fp_kg_m2_by_country_year_Buffalo_Meat,Australia and New Zealand,NZL,25,-7.461684220434126,74.15476282028251,0.7622267956754756,1.2471418637205099e-08,0.8689850339604336,2021,0.01710232948055,bvmeat
pasture_fp_kg_m2_by_country_year_Buffalo_Meat,Eastern Europe,BGR,59,0.4162438526596939,-8.37676873462639,0.17112610447673215,0.001127083692985252,0.12133790824548944,2021,0.0035106518598953,bvmeat
pasture_fp_kg_m2_by_country_year_Buffalo_Meat,Eastern Europe,BLR,59,0.4162438526596939,-8.37676873462639,0.17112610447673215,0.001127083692985252,0.12133790824548944,2021,0.0147330568649586,bvmeat
pasture_fp_kg_m2_by_country_year_Buffalo_Meat,Eastern Europe,CZE,59,0.4162438526596939,-8.37676873462639,0.17112610447673215,0.001127083692985252,0.12133790824548944,2021,0.0195284130655567,bvmeat
pasture_fp_kg_m2_by_country_year_Buffalo_Meat,Eastern Europe,HUN,59,0.4162438526596939,-8.37676873462639,0.17112610447673215,0.001127083692985252,0.12133790824548944,2021,0.0107863265164738,bvmeat
pasture_fp_kg_m2_by_country_year_Buffalo_Meat,Eastern Europe,MDA,59,0.4162438526596939,-8.37676873462639,0.17112610447673215,0.001127083692985252,0.12133790824548944,2021,0.0052508072138864,bvmeat
pasture_fp_kg_m2_by_country_year_Buffalo_Meat,Eastern Europe,POL,59,0.4162438526596939,-8.37676873462639,0.17112610447673215,0.001127083692985252,0.12133790824548944,2021,0.0322539978123458,bvmeat
pasture_fp_kg_m2_by_country_year_Buffalo_Meat,Eastern Europe,ROU,59,0.4162438526596939,-8.37676873462639,0.17112610447673215,0.001127083692985252,0.12133790824548944,2021,0.0055867155483751,bvmeat
pasture_fp_kg_m2_by_country_year_Buffalo_Meat,Eastern Europe,SVK,59,0.4162438526596939,-8.37676873462639,0.17112610447673215,0.001127083692985252,0.12133790824548944,2021,0.0065554444543889,bvmeat
pasture_fp_kg_m2_by_country_year_Buffalo_Meat,Eastern Europe,UKR,59,0.4162438526596939,-8.37676873462639,0.17112610447673215,0.001127083692985252,0.12133790824548944,2021,0.0067243900907458,bvmeat
pasture_fp_kg_m2_by_country_year_Buffalo_Meat,Latin America and the Caribbean,ARG,69,0.33112327390412843,-8.468074666881146,0.13125825861664187,0.002219823662119714,0.10407210322644264,2021,0.0042843134677972,bvmeat
pasture_fp_kg_m2_by_country_year_Buffalo_Meat,Latin America and the Caribbean,BRA,69,0.33112327390412843,-8.468074666881146,0.13125825861664187,0.002219823662119714,0.10407210322644264,2021,0.0060990610651646,bvmeat
pasture_fp_kg_m2_by_country_year_Buffalo_Meat,Latin America and the Caribbean,CHL,69,0.33112327390412843,-8.468074666881146,0.13125825861664187,0.002219823662119714,0.10407210322644264,2021,0.0027442822726948,bvmeat
pasture_fp_kg_m2_by_country_year_Buffalo_Meat,Latin America and the Caribbean,COL,69,0.33112327390412843,-8.468074666881146,0.13125825861664187,0.002219823662119714,0.10407210322644264,2021,0.0025293470891679,bvmeat
pasture_fp_kg_m2_by_country_year_Buffalo_Meat,Latin America and the Caribbean,CRI,69,0.33112327390412843,-8.468074666881146,0.13125825861664187,0.002219823662119714,0.10407210322644264,2021,0.0087402438722433,bvmeat
pasture_fp_kg_m2_by_country_year_Buffalo_Meat,Latin America and the Caribbean,DOM,69,0.33112327390412843,-8.468074666881146,0.13125825861664187,0.002219823662119714,0.10407210322644264,2021,0.006646577652037,bvmeat
pasture_fp_kg_m2_by_country_year_Buffalo_Meat,Latin America and the Caribbean,ECU,69,0.33112327390412843,-8.468074666881146,0.13125825861664187,0.002219823662119714,0.10407210322644264,2021,0.0083610313082149,bvmeat
pasture_fp_kg_m2_by_country_year_Buffalo_Meat,Latin America and the Caribbean,GTM,69,0.33112327390412843,-8.468074666881146,0.13125825861664187,0.002219823662119714,0.10407210322644264,2021,0.0031207053327814,bvmeat
pasture_fp_kg_m2_by_country_year_Buffalo_Meat,Latin America and the Caribbean,NIC,69,0.33112327390412843,-8.468074666881146,0.13125825861664187,0.002219823662119714,0.10407210322644264,2021,0.0031428930835543,bvmeat
pasture_fp_kg_m2_by_country_year_Buffalo_Meat,Latin America and the Caribbean,PAN,69,0.33112327390412843,-8.468074666881146,0.13125825861664187,0.002219823662119714,0.10407210322644264,2021,0.0063459043989366,bvmeat
